id,nombre,tipo,torre,apartamento,telefono,email,mascota,casillero,parqueadero_1,placa_1,parqueadero_2,placa_2
79,Tatiana Guerrero,residente,1,504,3000000079,tatiana.guerrero.79@example.com,perro,C504,P5041,CEJ471,P5042,NWZ713
80,Daniela Navarro,residente,1,504,3000000080,daniela.navarro.80@example.com,perro,C504,P5041,CEJ471,P5042,NWZ713
81,Gabriela Ruiz,propietario,1,601,3000000081,gabriela.ruiz.81@example.com,gato,C601,P6011,WGY375,P6012,VJW572
82,Nicolás Navarro,residente,1,601,3000000082,nicolas.navarro.82@example.com,gato,C601,P6011,WGY375,P6012,VJW572
83,Samuel Hernández,residente,1,601,3000000083,samuel.hernandez.83@example.com,gato,C601,P6011,WGY375,P6012,VJW572
84,Andrés López,propietario,1,602,3000000084,andres.lopez.84@example.com,No posee,C602,P6021,libre,P6022,UZB479
85,Laura Martínez,residente,1,602,3000000085,laura.martinez.85@example.com,No posee,C602,P6021,libre,P6022,UZB479
86,Valentina Rojas,residente,1,602,3000000086,valentina.rojas.86@example.com,No posee,C602,P6021,libre,P6022,UZB479
87,Santiago Ortiz,residente,1,602,3000000087,santiago.ortiz.87@example.com,No posee,C602,P6021,libre,P6022,UZB479
88,Manuel Romero,propietario,1,603,3000000088,manuel.romero.88@example.com,perro,C603,P6031,TDX410,P6032,BYE810
89,Fernando García,residente,1,603,3000000089,fernando.garcia.89@example.com,perro,C603,P6031,TDX410,P6032,BYE810
90,María Gómez,residente,1,603,3000000090,maria.gomez.90@example.com,perro,C603,P6031,TDX410,P6032,BYE810
91,Daniela García,residente,1,603,3000000091,daniela.garcia.91@example.com,perro,C603,P6031,TDX410,P6032,BYE810
92,Natalia Moreno,residente,1,603,3000000092,natalia.moreno.92@example.com,perro,C603,P6031,TDX410,P6032,BYE810
93,Miguel Ramírez,residente,1,604,3000000093,miguel.ramirez.93@example.com,No posee,C604,P6041,CJY747,P6042,XKL911
94,Mónica Díaz,residente,1,604,3000000094,monica.diaz.94@example.com,No posee,C604,P6041,CJY747,P6042,XKL911
95,Luis Acosta,residente,1,604,3000000095,luis.acosta.95@example.com,No posee,C604,P6041,CJY747,P6042,XKL911
96,Juan Pardo,residente,1,604,3000000096,juan.pardo.96@example.com,No posee,C604,P6041,CJY747,P6042,XKL911
97,Nicolás Rodríguez,propietario,1,701,3000000097,nicolas.rodriguez.97@example.com,No posee,C701,P7011,AGY478,P7012,XXC538
98,Diana Romero,residente,1,701,3000000098,diana.romero.98@example.com,No posee,C701,P7011,AGY478,P7012,XXC538
99,Mónica Rodríguez,residente,1,701,3000000099,monica.rodriguez.99@example.com,No posee,C701,P7011,AGY478,P7012,XXC538
100,Mateo Suárez,residente,1,701,3000000100,mateo.suarez.100@example.com,No posee,C701,P7011,AGY478,P7012,XXC538
101,Mónica Medina,residente,1,701,3000000101,monica.medina.101@example.com,No posee,C701,P7011,AGY478,P7012,XXC538
102,Sebastián Salazar,residente,1,702,3000000102,sebastian.salazar.102@example.com,No posee,C702,P7021,STT499,P7022,MUY876
103,Isabella García,residente,1,702,3000000103,isabella.garcia.103@example.com,No posee,C702,P7021,STT499,P7022,MUY876
104,Daniela Guerrero,residente,1,702,3000000104,daniela.guerrero.104@example.com,No posee,C702,P7021,STT499,P7022,MUY876
105,Andrés Acosta,propietario,1,703,3000000105,andres.acosta.105@example.com,No posee,C703,P7031,libre,P7032,LZS000
106,Sofía Salazar,residente,1,703,3000000106,sofia.salazar.106@example.com,No posee,C703,P7031,libre,P7032,LZS000
107,Mónica Castro,residente,1,703,3000000107,monica.castro.107@example.com,No posee,C703,P7031,libre,P7032,LZS000
108,Felipe Pardo,residente,1,703,3000000108,felipe.pardo.108@example.com,No posee,C703,P7031,libre,P7032,LZS000
109,Daniela Ruiz,propietario,1,704,3000000109,daniela.ruiz.109@example.com,gato,C704,P7041,TDM182,P7042,PJW669
110,Carolina Ortiz,residente,1,704,3000000110,carolina.ortiz.110@example.com,gato,C704,P7041,TDM182,P7042,PJW669
111,Natalia García,residente,1,704,3000000111,natalia.garcia.111@example.com,gato,C704,P7041,TDM182,P7042,PJW669
112,María García,residente,1,704,3000000112,maria.garcia.112@example.com,gato,C704,P7041,TDM182,P7042,PJW669
113,Alejandra López,propietario,1,801,3000000113,alejandra.lopez.113@example.com,perro,C801,P8011,CFA126,P8012,libre
114,Mateo Hernández,residente,1,801,3000000114,mateo.hernandez.114@example.com,perro,C801,P8011,CFA126,P8012,libre
115,Camilo Suárez,propietario,1,802,3000000115,camilo.suarez.115@example.com,gato,C802,P8021,LFG569,P8022,UCJ788
116,Óscar Castro,residente,1,802,3000000116,oscar.castro.116@example.com,gato,C802,P8021,LFG569,P8022,UCJ788
117,Juliana Mendoza,residente,1,802,3000000117,juliana.mendoza.117@example.com,gato,C802,P8021,LFG569,P8022,UCJ788
118,Natalia García,residente,1,802,3000000118,natalia.garcia.118@example.com,gato,C802,P8021,LFG569,P8022,UCJ788
119,Juan Gómez,residente,1,802,3000000119,juan.gomez.119@example.com,gato,C802,P8021,LFG569,P8022,UCJ788
120,Miguel Gómez,residente,1,802,3000000120,miguel.gomez.120@example.com,gato,C802,P8021,LFG569,P8022,UCJ788
121,Natalia Castro,residente,1,803,3000000121,natalia.castro.121@example.com,No posee,C803,P8031,libre,P8032,KHM753
122,Natalia Acosta,residente,1,803,3000000122,natalia.acosta.122@example.com,No posee,C803,P8031,libre,P8032,KHM753
123,Alejandra Torres,residente,1,803,3000000123,alejandra.torres.123@example.com,No posee,C803,P8031,libre,P8032,KHM753
124,Ana Torres,residente,1,803,3000000124,ana.torres.124@example.com,No posee,C803,P8031,libre,P8032,KHM753
125,Tatiana Hernández,propietario,1,804,3000000125,tatiana.hernandez.125@example.com,No posee,C804,P8041,XPD762,P8042,libre
126,Juliana Martínez,residente,1,804,3000000126,juliana.martinez.126@example.com,No posee,C804,P8041,XPD762,P8042,libre
127,Felipe Rodríguez,residente,1,804,3000000127,felipe.rodriguez.127@example.com,No posee,C804,P8041,XPD762,P8042,libre
128,Laura Salazar,residente,1,804,3000000128,laura.salazar.128@example.com,No posee,C804,P8041,XPD762,P8042,libre
